md,country,year
2.782,Afghanistan,2016
12.164,Albania,2016
18.325,Algeria,2016
40.013,Argentina,2016
35.672,Australia,2016
51.234,Austria,2016
4.974,Bangladesh,2016
30.679,Belgium,2016
0.481,Benin,2016
4.059,Bhutan,2016
15.901,Bolivia (Plurinational State of),2016
5.269,Botswana,2016
0.645,Burkina Faso,2016
23.105,Canada,2016
0.471,Chad,2016
22.937,Chile,2016
18.647,China,2016
20.335,Colombia,2016
2.715,Comoros,2016
13.759,Costa Rica,2016
29.996,Croatia,2016
79.541,Cuba,2016
19.509,Cyprus,2016
40.194,Czechia,2016
37.011,Democratic People's Republic of Korea,2016
0.74,Democratic Republic of the Congo,2016
40.099,Denmark,2016
20.368,Ecuador,2016
8.214,Egypt,2016
15.662,El Salvador,2016
0.628,Eritrea,2016
34.546,Estonia,2016
3.285,Eswatini,2016
0.464,Ethiopia,2016
38.118,Finland,2016
32.376,France,2016
3.561,Gabon,2016
59.973,Georgia,2016
41.944,Germany,2016
1.27,Ghana,2016
54.036,Greece,2016
